Temps;Canal A
(us);(V)

-22,13409372;-0,25244910
-22,12409372;-0,25244910
-22,11409372;-0,25244910
-22,10409372;-0,25244910
-22,09409372;-0,25244910
-22,08409372;-0,25244910
-22,07409372;-0,25244910
-22,06409372;-0,25244910
-22,05409372;-0,25244910
-22,04409372;-0,25244910
-22,03409372;-0,25244910
-22,02409372;-0,25244910
-22,01409372;-0,25244910
-22,00409372;-0,25244910
-21,99409372;-0,25244910
-21,98409372;-0,25244910
-21,97409372;-0,25244910
-21,96409372;-0,25244910
-21,95409372;-0,25244910
-21,94409372;-0,23438220
-21,93409372;-0,23438220
-21,92409372;-0,25244910
-21,91409372;-0,23438220
-21,90409372;-0,23438220
-21,89409372;-0,23438220
-21,88409372;-0,23438220
-21,87409372;-0,23438220
-21,86409372;-0,23438220
-21,85409372;-0,23438220
-21,84409372;-0,23438220
-21,83409372;-0,23438220
-21,82409372;-0,21625420
-21,81409372;-0,21625420
-21,80409372;-0,21625420
-21,79409372;-0,21625420
-21,78409372;-0,21625420
-21,77409372;-0,21625420
-21,76409372;-0,21625420
-21,75409372;-0,21625420
-21,74409372;-0,21625420
-21,73409372;-0,19818720
-21,72409372;-0,21625420
-21,71409372;-0,21625420
-21,70409372;-0,21625420
-21,69409372;-0,19818720
-21,68409372;-0,19818720
-21,67409372;-0,19818720
-21,66409372;-0,19818720
-21,65409372;-0,19818720
-21,64409372;-0,19818720
-21,63409372;-0,18012020
-21,62409372;-0,18012020
-21,61409372;-0,18012020
-21,60409372;-0,19818720
-21,59409372;-0,19818720
-21,58409372;-0,18012020
-21,57409372;-0,18012020
-21,56409372;-0,18012020
-21,55409372;-0,18012020
-21,54409372;-0,18012020
-21,53409372;-0,18012020
-21,52409372;-0,18012020
-21,51409372;-0,18012020
-21,50409372;-0,18012020
-21,49409372;-0,18012020
-21,48409372;-0,16205330
-21,47409372;-0,16205330
-21,46409372;-0,16205330
-21,45409372;-0,16205330
-21,44409372;-0,16205330
-21,43409372;-0,16205330
-21,42409372;-0,16205330
-21,41409372;-0,16205330
-21,40409372;-0,16205330
-21,39409372;-0,16205330
-21,38409372;-0,14392530
-21,37409372;-0,14392530
-21,36409372;-0,14392530
-21,35409372;-0,14392530
-21,34409372;-0,14392530
-21,33409372;-0,14392530
-21,32409372;-0,12585830
-21,31409372;-0,14392530
-21,30409372;-0,14392530
-21,29409372;-0,12585830
-21,28409372;-0,12585830
-21,27409372;-0,12585830
-21,26409372;-0,12585830
-21,25409372;-0,12585830
-21,24409373;-0,10779140
-21,23409373;-0,10779140
-21,22409373;-0,10779140
-21,21409373;-0,10779140
-21,20409373;-0,10779140
-21,19409373;-0,08972442
-21,18409373;-0,10779140
-21,17409373;-0,08972442
-21,16409373;-0,08972442
-21,15409373;-0,08972442
-21,14409373;-0,08972442
-21,13409373;-0,08972442
-21,12409373;-0,08972442
-21,11409373;-0,08972442
-21,10409373;-0,08972442
-21,09409373;-0,07165746
-21,08409373;-0,07165746
-21,07409373;-0,07165746
-21,06409373;-0,07165746
-21,05409373;-0,07165746
-21,04409373;-0,07165746
-21,03409373;-0,05352946
-21,02409373;-0,07165746
-21,01409373;-0,07165746
-21,00409373;-0,05352946
-20,99409373;-0,05352946
-20,98409373;-0,05352946
-20,97409373;-0,05352946
-20,96409373;-0,05352946
-20,95409373;-0,05352946
-20,94409373;-0,05352946
-20,93409373;-0,03546251
-20,92409373;-0,03546251
-20,91409373;-0,03546251
-20,90409373;-0,03546251
-20,89409373;-0,03546251
-20,88409373;-0,03546251
-20,87409373;-0,03546251
-20,86409373;-0,03546251
-20,85409373;-0,03546251
-20,84409373;-0,01739555
-20,83409373;-0,03546251
-20,82409373;-0,01739555
-20,81409373;-0,01739555
-20,80409373;-0,01739555
-20,79409373;-0,01739555
-20,78409373;-0,01739555
-20,77409373;-0,01739555
-20,76409373;0,00067141
-20,75409373;-0,01739555
-20,74409373;0,00067141
-20,73409373;0,00067141
-20,72409373;0,00067141
-20,71409373;0,00067141
-20,70409373;0,00067141
-20,69409373;0,00067141
-20,68409373;0,00067141
-20,67409373;0,00067141
-20,66409373;0,01873836
-20,65409373;0,01873836
-20,64409373;0,01873836
-20,63409373;0,01873836
-20,62409373;0,01873836
-20,61409373;0,03680532
-20,60409373;0,03680532
-20,59409373;0,03680532
-20,58409373;0,03680532
-20,57409373;0,03680532
-20,56409373;0,03680532
-20,55409373;0,03680532
-20,54409373;0,03680532
-20,53409373;0,03680532
-20,52409373;0,05487228
-20,51409373;0,05487228
-20,50409373;0,05487228
-20,49409373;0,05487228
-20,48409373;0,05487228
-20,47409373;0,05487228
-20,46409373;0,07293924
-20,45409373;0,07293924
-20,44409373;0,07293924
-20,43409373;0,07293924
-20,42409373;0,07293924
-20,41409373;0,07293924
-20,40409373;0,07293924
-20,39409373;0,07293924
-20,38409373;0,09100620
-20,37409373;0,09100620
-20,36409373;0,09100620
-20,35409373;0,09100620
-20,34409373;0,10913420
-20,33409373;0,10913420
-20,32409373;0,10913420
-20,31409373;0,10913420
-20,30409373;0,10913420
-20,29409373;0,10913420
-20,28409373;0,10913420
-20,27409373;0,12720110
-20,26409373;0,12720110
-20,25409373;0,12720110
-20,24409373;0,12720110
-20,23409373;0,12720110
-20,22409373;0,12720110
-20,21409373;0,12720110
-20,20409373;0,12720110
-20,19409373;0,12720110
-20,18409373;0,14526810
-20,17409373;0,14526810
-20,16409373;0,14526810
-20,15409373;0,14526810
-20,14409373;0,14526810
-20,13409373;0,14526810
-20,12409373;0,16333510
-20,11409373;0,16333510
-20,10409373;0,16333510
-20,09409373;0,16333510
-20,08409373;0,16333510
-20,07409373;0,16333510
-20,06409373;0,18140200
-20,05409373;0,18140200
-20,04409373;0,18140200
-20,03409373;0,18140200
-20,02409373;0,18140200
-20,01409373;0,18140200
-20,00409373;0,18140200
-19,99409373;0,18140200
-19,98409373;0,19953000
-19,97409373;0,19953000
-19,96409373;0,19953000
-19,95409373;0,19953000
-19,94409373;0,19953000
-19,93409373;0,19953000
-19,92409373;0,19953000
-19,91409373;0,19953000
-19,90409373;0,21759700
-19,89409373;0,21759700
-19,88409373;0,21759700
-19,87409373;0,21759700
-19,86409373;0,23566390
-19,85409373;0,21759700
-19,84409373;0,23566390
-19,83409373;0,23566390
-19,82409373;0,23566390
-19,81409373;0,23566390
-19,80409373;0,25373090
-19,79409373;0,25373090
-19,78409373;0,25373090
-19,77409373;0,25373090
-19,76409373;0,25373090
-19,75409373;0,25373090
-19,74409373;0,25373090
-19,73409373;0,25373090
-19,72409373;0,27185890
-19,71409373;0,27185890
-19,70409373;0,27185890
-19,69409373;0,27185890
-19,68409373;0,27185890
-19,67409373;0,27185890
-19,66409373;0,27185890
-19,65409373;0,28992580
-19,64409373;0,28992580
-19,63409373;0,28992580
-19,62409373;0,28992580
-19,61409373;0,28992580
-19,60409374;0,28992580
-19,59409374;0,28992580
-19,58409374;0,30799280
-19,57409374;0,30799280
-19,56409374;0,30799280
-19,55409374;0,30799280
-19,54409374;0,32605980
-19,53409374;0,32605980
-19,52409374;0,32605980
-19,51409374;0,32605980
-19,50409374;0,32605980
-19,49409374;0,32605980
-19,48409374;0,32605980
-19,47409374;0,34412670
-19,46409374;0,34412670
-19,45409374;0,34412670
-19,44409374;0,34412670
-19,43409374;0,34412670
-19,42409374;0,34412670
-19,41409374;0,34412670
-19,40409374;0,34412670
